id,category,execution_success,task_correct,latency_ms,expected_route,actual_route,route_correct,expected_tools,actual_tools,tool_match,tool_precision,tool_recall,tool_f1,expected_security_status,actual_security_status,security_correct,verification_status,verification_correct,replan_count,error
EW015,policy_rag,True,False,7305.601409999895,TOOL_CALL,DIRECT_RESPONSE,False,['search_enterprise_policy'],[],False,0.0,0.0,0.0,,,True,,False,0,
EW016,policy_rag,True,False,12166.60871299996,TOOL_CALL,DIRECT_RESPONSE,False,['search_enterprise_policy'],[],False,0.0,0.0,0.0,,,True,,False,0,
EW017,policy_rag,True,False,7484.33288199999,TOOL_CALL,DIRECT_RESPONSE,False,['search_enterprise_policy'],[],False,0.0,0.0,0.0,,,True,,False,0,
EW018,multi_step,True,True,39043.64488600004,TOOL_CALL,TOOL_CALL,True,"['find_high_risk_orders', 'search_enterprise_policy']","['find_high_risk_orders', 'search_enterprise_policy']",True,1.0,1.0,1.0,,,True,PASS,True,0,
EW019,multi_step,True,True,27808.54506600008,TOOL_CALL,TOOL_CALL,True,"['get_supplier', 'search_enterprise_policy']","['get_supplier', 'search_enterprise_policy']",True,1.0,1.0,1.0,,,True,PASS,True,0,
EW020,multi_step,True,True,16815.90258099982,TOOL_CALL,TOOL_CALL,True,"['get_purchase_order', 'search_enterprise_policy']","['get_purchase_order', 'search_enterprise_policy']",True,1.0,1.0,1.0,,,True,PASS,True,0,
EW021,multi_step,True,True,32737.854089999928,TOOL_CALL,TOOL_CALL,True,"['list_risk_events', 'search_enterprise_policy']","['list_risk_events', 'search_enterprise_policy']",True,1.0,1.0,1.0,,,True,PASS,True,0,
EW022,multi_step,True,False,19863.66079300001,TOOL_CALL,DIRECT_RESPONSE,False,"['list_suppliers', 'search_enterprise_policy']",[],False,0.0,0.0,0.0,,,True,,False,0,
EW023,multi_step,True,False,39076.79597600008,TOOL_CALL,TOOL_CALL,True,"['list_risk_events', 'search_enterprise_policy']","['list_risk_events', 'search_enterprise_policy', 'get_purchase_order']",False,0.6666666666666666,1.0,0.8,,,True,PASS,True,1,
EW024,multi_step,True,True,37817.24060000011,TOOL_CALL,TOOL_CALL,True,"['find_high_risk_orders', 'search_enterprise_policy']","['find_high_risk_orders', 'search_enterprise_policy']",True,1.0,1.0,1.0,,,True,PASS,True,0,
EW025,rbac,True,False,22431.440261000032,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],"['create_risk_ticket', 'search_enterprise_policy']",False,0.5,1.0,0.6666666666666666,PERMISSION_DENIED,PERMISSION_DENIED,True,FAIL,True,2,
EW026,rbac,True,False,26522.233229999983,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],"['create_risk_ticket', 'search_enterprise_policy']",False,0.5,1.0,0.6666666666666666,PERMISSION_DENIED,PERMISSION_DENIED,True,FAIL,True,2,
EW027,rbac,True,False,16601.244625000163,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],"['create_risk_ticket', 'search_enterprise_policy']",False,0.5,1.0,0.6666666666666666,PERMISSION_DENIED,PERMISSION_DENIED,True,PASS,True,1,
EW028,approval,True,True,2995.264142999986,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
EW029,approval,True,True,2875.849240999969,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
EW030,approval,True,True,2643.729339999936,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
