agent,id,reviewer,task_achieved,claims_checked,unsupported_claims,citations_checked,correct_citations,participant,trial_type,human_seconds,assisted_seconds,human_success,assisted_success,satisfaction,feedback
baseline_common,EB041,,,,,,,,,,,,,,
baseline_common,EB042,,,,,,,,,,,,,,
baseline_common,EB043,,,,,,,,,,,,,,
baseline_common,EB044,,,,,,,,,,,,,,
baseline_common,EB045,,,,,,,,,,,,,,
baseline_common,EB046,,,,,,,,,,,,,,
baseline_common,EB047,,,,,,,,,,,,,,
baseline_common,EB048,,,,,,,,,,,,,,
baseline_common,EB049,,,,,,,,,,,,,,
baseline_common,EB050,,,,,,,,,,,,,,
baseline_common,EB051,,,,,,,,,,,,,,
baseline_common,EB052,,,,,,,,,,,,,,
baseline_common,EB053,,,,,,,,,,,,,,
baseline_common,EB054,,,,,,,,,,,,,,
baseline_common,EB055,,,,,,,,,,,,,,
baseline_common,EB056,,,,,,,,,,,,,,
baseline_common,EB057,,,,,,,,,,,,,,
baseline_common,EB058,,,,,,,,,,,,,,
baseline_common,EB059,,,,,,,,,,,,,,
baseline_common,EB060,,,,,,,,,,,,,,
workflow_common,EB001,,,,,,,,,,,,,,
workflow_common,EB002,,,,,,,,,,,,,,
workflow_common,EB003,,,,,,,,,,,,,,
workflow_common,EB004,,,,,,,,,,,,,,
workflow_common,EB005,,,,,,,,,,,,,,
workflow_common,EB006,,,,,,,,,,,,,,
workflow_common,EB007,,,,,,,,,,,,,,
workflow_common,EB008,,,,,,,,,,,,,,
workflow_common,EB009,,,,,,,,,,,,,,
workflow_common,EB010,,,,,,,,,,,,,,
workflow_common,EB011,,,,,,,,,,,,,,
workflow_common,EB012,,,,,,,,,,,,,,
workflow_common,EB013,,,,,,,,,,,,,,
workflow_common,EB014,,,,,,,,,,,,,,
workflow_common,EB015,,,,,,,,,,,,,,
workflow_common,EB016,,,,,,,,,,,,,,
workflow_common,EB017,,,,,,,,,,,,,,
workflow_common,EB018,,,,,,,,,,,,,,
workflow_common,EB019,,,,,,,,,,,,,,
workflow_common,EB020,,,,,,,,,,,,,,
workflow_common,EB021,,,,,,,,,,,,,,
workflow_common,EB022,,,,,,,,,,,,,,
workflow_common,EB023,,,,,,,,,,,,,,
workflow_common,EB024,,,,,,,,,,,,,,
workflow_common,EB025,,,,,,,,,,,,,,
workflow_common,EB026,,,,,,,,,,,,,,
workflow_common,EB027,,,,,,,,,,,,,,
workflow_common,EB028,,,,,,,,,,,,,,
workflow_common,EB029,,,,,,,,,,,,,,
workflow_common,EB030,,,,,,,,,,,,,,
workflow_common,EB031,,,,,,,,,,,,,,
workflow_common,EB032,,,,,,,,,,,,,,
workflow_common,EB033,,,,,,,,,,,,,,
workflow_common,EB034,,,,,,,,,,,,,,
workflow_common,EB035,,,,,,,,,,,,,,
workflow_common,EB036,,,,,,,,,,,,,,
workflow_common,EB037,,,,,,,,,,,,,,
workflow_common,EB038,,,,,,,,,,,,,,
workflow_common,EB039,,,,,,,,,,,,,,
workflow_common,EB040,,,,,,,,,,,,,,
workflow_common,EB041,,,,,,,,,,,,,,
workflow_common,EB042,,,,,,,,,,,,,,
workflow_common,EB043,,,,,,,,,,,,,,
workflow_common,EB044,,,,,,,,,,,,,,
workflow_common,EB045,,,,,,,,,,,,,,
workflow_common,EB046,,,,,,,,,,,,,,
workflow_common,EB047,,,,,,,,,,,,,,
workflow_common,EB048,,,,,,,,,,,,,,
workflow_common,EB049,,,,,,,,,,,,,,
workflow_common,EB050,,,,,,,,,,,,,,
workflow_common,EB051,,,,,,,,,,,,,,
workflow_common,EB052,,,,,,,,,,,,,,
workflow_common,EB053,,,,,,,,,,,,,,
workflow_common,EB054,,,,,,,,,,,,,,
workflow_common,EB055,,,,,,,,,,,,,,
workflow_common,EB056,,,,,,,,,,,,,,
workflow_common,EB057,,,,,,,,,,,,,,
workflow_common,EB058,,,,,,,,,,,,,,
workflow_common,EB059,,,,,,,,,,,,,,
workflow_common,EB060,,,,,,,,,,,,,,
workflow_extension,EW001,,,,,,,,,,,,,,
workflow_extension,EW002,,,,,,,,,,,,,,
workflow_extension,EW003,,,,,,,,,,,,,,
workflow_extension,EW004,,,,,,,,,,,,,,
workflow_extension,EW005,,,,,,,,,,,,,,
workflow_extension,EW006,,,,,,,,,,,,,,
workflow_extension,EW007,,,,,,,,,,,,,,
workflow_extension,EW008,,,,,,,,,,,,,,
workflow_extension,EW009,,,,,,,,,,,,,,
workflow_extension,EW010,,,,,,,,,,,,,,
workflow_extension,EW011,,,,,,,,,,,,,,
workflow_extension,EW012,,,,,,,,,,,,,,
workflow_extension,EW013,,,,,,,,,,,,,,
workflow_extension,EW014,,,,,,,,,,,,,,
workflow_extension,EW015,,,,,,,,,,,,,,
workflow_extension,EW016,,,,,,,,,,,,,,
workflow_extension,EW017,,,,,,,,,,,,,,
workflow_extension,EW018,,,,,,,,,,,,,,
workflow_extension,EW019,,,,,,,,,,,,,,
workflow_extension,EW020,,,,,,,,,,,,,,
workflow_extension,EW021,,,,,,,,,,,,,,
workflow_extension,EW022,,,,,,,,,,,,,,
workflow_extension,EW023,,,,,,,,,,,,,,
workflow_extension,EW024,,,,,,,,,,,,,,
workflow_extension,EW025,,,,,,,,,,,,,,
workflow_extension,EW026,,,,,,,,,,,,,,
workflow_extension,EW027,,,,,,,,,,,,,,
workflow_extension,EW028,,,,,,,,,,,,,,
workflow_extension,EW029,,,,,,,,,,,,,,
workflow_extension,EW030,,,,,,,,,,,,,,
