id,category,execution_success,task_correct,latency_ms,expected_route,actual_route,route_correct,expected_tools,actual_tools,tool_match,tool_precision,tool_recall,tool_f1,expected_security_status,actual_security_status,security_correct,verification_status,verification_correct,replan_count,error
EB037,risk_event,True,False,8309.09391900002,TOOL_CALL,DIRECT_RESPONSE,False,['list_risk_events'],[],False,0.0,0.0,0.0,,,True,,False,0,
EB038,risk_event,True,True,6661.816657000031,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB039,risk_event,True,True,10810.47424999997,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB040,risk_event,True,False,14956.46431099999,TOOL_CALL,DIRECT_RESPONSE,False,['list_risk_events'],[],False,0.0,0.0,0.0,,,True,,False,0,
EB041,risk_event,True,True,6111.317460999999,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB042,risk_event,True,False,15328.738778000003,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],"['list_risk_events', 'find_high_risk_orders']",False,0.5,1.0,0.6666666666666666,,,True,FAIL,False,2,
EB043,risk_event,True,True,6437.144749000026,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB044,risk_event,True,True,10741.866665999965,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB045,risk_event,True,True,23310.14066600005,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB046,risk_order_search,True,True,9124.840247999942,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB047,risk_order_search,True,True,10874.630980000005,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB048,risk_order_search,True,True,11700.25671899998,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB049,risk_order_search,True,True,7044.550404000006,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB050,risk_order_search,True,True,9261.284814999954,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB051,risk_order_search,True,True,8478.09182000003,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB052,risk_order_search,True,True,8919.318266999995,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB053,risk_order_search,True,True,6239.6391300000005,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB054,risk_order_search,True,True,11295.989959000053,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB055,write_operation,True,True,3187.8483579999966,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
EB056,write_operation,True,True,3373.033052999972,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
EB057,write_operation,True,True,2446.099664999906,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
EB058,write_operation,True,True,3260.620997999922,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
EB059,write_operation,True,True,2925.686294000002,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
EB060,write_operation,True,True,3006.650299999933,TOOL_CALL,TOOL_CALL,True,['create_risk_ticket'],['create_risk_ticket'],True,1.0,1.0,1.0,APPROVAL_REQUIRED,APPROVAL_REQUIRED,True,,True,0,
